year,kt,party,id_kt,others_name,ap_i,vote,ap_s,seats,kname,s
2011,AG,bdp,AG2011,,AG11B,6.099999904632568,0,,Aargau,1
2011,AI,bdp,AI2011,,,0,0,,Appenzell I. Rh. ,0
2011,AR,bdp,AR2011,,,0,0,,Appenzell A. Rh.,0
2011,BE,bdp,BE2011,,,14.89999961853027,0,,Bern,4
2011,BL,bdp,BL2011,,BL11B,6.400000095367432,0,,Basel-Landschaft ,0
2011,BS,bdp,BS2011,,BS11B,2.200000047683716,0,,Basel-Stadt,0
2011,FR,bdp,FR2011,,FR11D,1.899999976158142,0,,Freiburg,0
2011,GE,bdp,GE2011,,,0,0,,Genf,0
2011,GL,bdp,GL2011,,,61.70000076293945,0,,Glarus,1
2011,GR,bdp,GR2011,,,20.5,0,,Graubünden,1
2011,JU,bdp,JU2011,,,0,0,,Jura,0
2011,LU,bdp,LU2011,,LU11C,2.099999904632568,0,,Luzern,0
2011,NE,bdp,NE2011,,NE11A,1.5,0,,Neuenburg,0
2011,NW,bdp,NW2011,,,0,0,,Nidwalden,0
2011,OW,bdp,OW2011,,,0,0,,Obwalden ,0
2011,SG,bdp,SG2011,,SG11D,3.799999952316284,0,,St. Gallen,0
2011,SH,bdp,SH2011,,,0,0,,Schaffhausen,0
2011,SO,bdp,SO2011,,SO11B,4.400000095367432,0,,Solothurn,0
2011,SZ,bdp,SZ2011,,SZ11C,3.400000095367432,0,,Schwyz,0
2011,TG,bdp,TG2011,,TG11B,5,0,,Thurgau,0
2011,TI,bdp,TI2011,,,0,0,,Tessin,0
2011,UR,bdp,UR2011,,,0,0,,Uri,0
2011,VD,bdp,VD2011,,VD11C,.800000011920929,0,,Waadt,0
2011,VS,bdp,VS2011,,,.6000000238418579,0,,Wallis,0
2011,ZG,bdp,ZG2011,,,0,0,,Zug,0
2011,ZH,bdp,ZH2011,,ZH11C,5.300000190734863,0,,Zürich,2
1995,AG,csp,AG1995,,,0,0,,Aargau,0
1999,AG,csp,AG1999,,,0,0,,Aargau,0
2003,AG,csp,AG2003,,,0,0,,Aargau,0
2007,AG,csp,AG2007,,,0,0,,Aargau,0
2011,AG,csp,AG2011,,,0,0,,Aargau,0
1995,AI,csp,AI1995,,,0,0,,Appenzell I. Rh. ,0
1999,AI,csp,AI1999,,,0,0,,Appenzell I. Rh. ,0
2003,AI,csp,AI2003,,,0,0,,Appenzell I. Rh. ,0
2007,AI,csp,AI2007,,,0,0,,Appenzell I. Rh. ,0
2011,AI,csp,AI2011,,,0,0,,Appenzell I. Rh. ,0
1995,AR,csp,AR1995,,,0,0,,Appenzell A. Rh.,0
1999,AR,csp,AR1999,,,0,0,,Appenzell A. Rh.,0
2003,AR,csp,AR2003,,,0,0,,Appenzell A. Rh.,0
2007,AR,csp,AR2007,,,0,0,,Appenzell A. Rh.,0
2011,AR,csp,AR2011,,,0,0,,Appenzell A. Rh.,0
1995,BE,csp,BE1995,,,0,0,,Bern,0
1999,BE,csp,BE1999,,,0,0,,Bern,0
2003,BE,csp,BE2003,,,0,0,,Bern,0
2007,BE,csp,BE2007,,,0,0,,Bern,0
2011,BE,csp,BE2011,,,0,0,,Bern,0
1995,BL,csp,BL1995,,,0,0,,Basel-Landschaft ,0
1999,BL,csp,BL1999,,,0,0,,Basel-Landschaft ,0
2003,BL,csp,BL2003,,,0,0,,Basel-Landschaft ,0
2007,BL,csp,BL2007,,,0,0,,Basel-Landschaft ,0
2011,BL,csp,BL2011,,,0,0,,Basel-Landschaft ,0
1995,BS,csp,BS1995,,,0,0,,Basel-Stadt,0
1999,BS,csp,BS1999,,,0,0,,Basel-Stadt,0
2003,BS,csp,BS2003,,,0,0,,Basel-Stadt,0
2007,BS,csp,BS2007,,,0,0,,Basel-Stadt,0
2011,BS,csp,BS2011,,,0,0,,Basel-Stadt,0
1995,FR,csp,FR1995,,FR95D,8.699999809265137,1,,Freiburg,1
1999,FR,csp,FR1999,,FR99B,10.89999961853027,1,,Freiburg,1
2003,FR,csp,FR2003,,FR03B,10.44454765319824,1,,Freiburg,1
2007,FR,csp,FR2007,,FR07B,7.099999904632568,1,,Freiburg,1
2011,FR,csp,FR2011,,FR11A,5.5,0,,Freiburg,0
1995,GE,csp,GE1995,,,0,0,,Genf,0
1999,GE,csp,GE1999,,,0,0,,Genf,0
2003,GE,csp,GE2003,,,0,0,,Genf,0
2007,GE,csp,GE2007,,,0,0,,Genf,0
2011,GE,csp,GE2011,,,0,0,,Genf,0
1995,GL,csp,GL1995,,,0,0,,Glarus,0
1999,GL,csp,GL1999,,,0,0,,Glarus,0
2003,GL,csp,GL2003,,,0,0,,Glarus,0
2007,GL,csp,GL2007,,,0,0,,Glarus,0
2011,GL,csp,GL2011,,,0,0,,Glarus,0
1995,GR,csp,GR1995,,,0,0,,Graubünden,0
1999,GR,csp,GR1999,,,0,0,,Graubünden,0
2003,GR,csp,GR2003,,,0,0,,Graubünden,0
2007,GR,csp,GR2007,,,0,0,,Graubünden,0
2011,GR,csp,GR2011,,,0,0,,Graubünden,0
1995,JU,csp,JU1995,,,0,0,,Jura,0
1999,JU,csp,JU1999,,,0,0,,Jura,0
2003,JU,csp,JU2003,,,0,0,,Jura,0
2007,JU,csp,JU2007,,,11,0,,Jura,0
2011,JU,csp,JU2011,,,0,0,,Jura,0
1995,LU,csp,LU1995,,,0,0,,Luzern,0
1999,LU,csp,LU1999,,LU99B,.5,0,,Luzern,0
2003,LU,csp,LU2003,,,0,0,,Luzern,0
2007,LU,csp,LU2007,,,0,0,,Luzern,0
