"year","canton","party","party_id","party_strength","seats_with","seats_without","seat_difference","list_id"
2015,"AG","",32,5.126283169,1,1,0,"AG15C"
2015,"AG","",2,8.588534355,1,1,0,"AG15A"
2015,"AG","",16,1.126065254,0,0,0,"AG15A"
2015,"AG","",7,3.336456537,0,0,0,"AG15C"
2015,"AG","",1,15.14465427,3,2,1,"AG15A"
2015,"AG","",31,5.176447392,1,1,0,"AG15C"
2015,"AG","",13,5.469935894,1,1,0,"AG15B"
2015,"AG","PPAG – Piratenpartei Aargau – Die Progressiven",8,0.625193179,0,0,0,"AG15B"
2015,"AG","",3,16.07650185,2,3,-1,"AG15B"
2015,"AG","",4,37.99491119,7,7,0,"AG15A"
2015,"AG","LOVB – Lösungs-Orientierte Volks-Bewegung",8,0.060703035,0,0,0,""
2015,"AG","www.Nichtwähler.ch",8,0.153535426,0,0,0,""
2015,"AG","Ecopop",8,0.816623986,0,0,0,"AG15C"
2015,"AG","Integrale Politik Aargau",8,0.178809673,0,0,0,"AG15B"
2015,"AG","SLB – Sozial-Liberale Bewegung",8,0.125346154,0,0,0,"AG15C"
2015,"AI","",2,76.30806732,1,1,0,""
2015,"AI","",3,18.06846046,0,0,0,""
2015,"AI","",8,5.623471737,0,0,0,""
2015,"AR","",1,33.58171082,0,0,0,""
2015,"AR","",3,28.55207443,0,0,0,""
2015,"AR","",4,36.09370422,1,1,0,""
2015,"AR","",8,1.772509217,0,0,0,""
2015,"BE","",32,11.75350666,3,3,0,"BE15B"
2015,"BE","",2,1.834925294,0,0,0,"BE15B"
2015,"BE","",16,2.841660261,0,0,0,"BE15E"
2015,"BE","",7,4.307303429,1,1,0,"BE15B"
2015,"BE","",1,9.33084774,2,2,0,"BE15A"
2015,"BE","",31,5.996947289,2,1,1,"BE15B"
2015,"BE","",13,8.506941795,2,2,0,"BE15C"
2015,"BE","",9,0.520910859,0,0,0,"BE15C"
2015,"BE","Piraten,  Pirates",8,0.941666663,0,0,0,""
2015,"BE","",16,0.443854511,0,0,0,"BE15E"
2015,"BE","",3,19.67935753,6,6,0,"BE15C"
2015,"BE","",4,33.12355804,9,10,-1,"BE15D"
2015,"BE","Philipp Jutzi,  Philipp Jutzi",8,0.341454595,0,0,0,""
2015,"BE","Alpenparlament,  Alpenparlament",8,0.37706551,0,0,0,"BE15D"
2015,"BL","",32,2.827819109,0,0,0,"BL15B"
2015,"BL","",2,9.094467163,1,0,1,"BL15B"
2015,"BL","",16,0.447358221,0,0,0,""
2015,"BL","",7,2.18757987,0,0,0,""
2015,"BL","",1,15.79526234,1,1,0,"BL15A"
2015,"BL","",31,2.740791559,0,0,0,"BL15D"
2015,"BL","",13,14.19425201,1,1,0,"BL15C"
2015,"BL","",3,22.16891861,2,2,0,"BL15C"
2015,"BL","",4,29.78523827,2,3,-1,"BL15A"
2015,"BL","Grüne-Unabhängige",8,0.758312643,0,0,0,"BL15D"
2015,"BS","",32,1.10040617,0,0,0,"BS15B"
2015,"BS","",2,6.447495937,0,0,0,"BS15B"
2015,"BS","",16,0.459071785,0,0,0,"BS15D"
2015,"BS","",7,2.318366528,0,0,0,"BS15B"
2015,"BS","",1,21.35672379,1,1,0,"BS15A"
2015,"BS","",31,4.803177834,0,0,0,"BS15B"
2015,"BS","",13,11.180933,1,1,0,"BS15C"
