"year","canton","party","party_abbr","party_id","seats_with","seat_difference","seats_without"
2011,"AG",,"bdp",32,1,0,1
2011,"BE",,"bdp",32,4,0,4
2011,"GL",,"bdp",32,1,0,1
2011,"GR",,"bdp",32,1,0,1
2011,"ZH",,"bdp",32,2,0,2
1995,"FR",,"csp",8,1,1,0
1999,"FR",,"csp",8,1,1,0
2003,"FR",,"csp",8,1,1,0
2007,"FR",,"csp",8,1,1,0
1995,"AG",,"cvp",2,2,0,2
1995,"AI",,"cvp",2,1,0,1
1995,"BE",,"cvp",2,1,1,0
1995,"BL",,"cvp",2,1,0,1
1995,"BS",,"cvp",2,0,-1,1
1995,"FR",,"cvp",2,3,-1,4
1995,"GE",,"cvp",2,1,-1,2
1995,"GR",,"cvp",2,1,0,1
1995,"JU",,"cvp",2,1,0,1
1995,"LU",,"cvp",2,4,0,4
1995,"OW",,"cvp",2,1,0,1
1995,"SG",,"cvp",2,4,-1,5
1995,"SO",,"cvp",2,2,0,2
1995,"SZ",,"cvp",2,1,0,1
1995,"TG",,"cvp",2,1,0,1
1995,"TI",,"cvp",2,2,-1,3
1995,"VD",,"cvp",2,1,0,1
1995,"VS",,"cvp",2,4,0,4
1995,"ZG",,"cvp",2,1,0,1
1995,"ZH",,"cvp",2,2,1,1
1999,"AG",,"cvp",2,3,0,3
1999,"AI",,"cvp",2,1,0,1
1999,"BE",,"cvp",2,1,1,0
1999,"BL",,"cvp",2,1,0,1
1999,"FR",,"cvp",2,2,-1,3
1999,"GE",,"cvp",2,2,0,2
1999,"GR",,"cvp",2,1,0,1
1999,"JU",,"cvp",2,1,0,1
1999,"LU",,"cvp",2,4,0,4
1999,"OW",,"cvp",2,1,0,1
1999,"SG",,"cvp",2,4,0,4
1999,"SO",,"cvp",2,2,0,2
1999,"SZ",,"cvp",2,1,0,1
1999,"TG",,"cvp",2,1,0,1
1999,"TI",,"cvp",2,2,0,2
1999,"VD",,"cvp",2,1,0,1
1999,"VS",,"cvp",2,4,0,4
1999,"ZG",,"cvp",2,1,0,1
1999,"ZH",,"cvp",2,2,0,2
2003,"AG",,"cvp",2,2,0,2
2003,"AI",,"cvp",2,1,0,1
2003,"BE",,"cvp",2,1,1,0
2003,"BL",,"cvp",2,1,0,1
2003,"FR",,"cvp",2,2,0,2
2003,"GE",,"cvp",2,1,0,1
2003,"GR",,"cvp",2,1,0,1
2003,"JU",,"cvp",2,1,0,1
2003,"LU",,"cvp",2,3,0,3
2003,"OW",,"cvp",2,1,0,1
2003,"SG",,"cvp",2,3,0,3
2003,"SO",,"cvp",2,1,0,1
2003,"SZ",,"cvp",2,1,0,1
2003,"TG",,"cvp",2,1,0,1
2003,"TI",,"cvp",2,2,0,2
2003,"VD",,"cvp",2,0,-1,1
2003,"VS",,"cvp",2,3,-1,4
2003,"ZG",,"cvp",2,1,0,1
2003,"ZH",,"cvp",2,2,0,2
2007,"AG",,"cvp",2,3,1,2
2007,"AI",,"cvp",2,1,0,1
2007,"BE",,"cvp",2,1,0,1
2007,"BL",,"cvp",2,1,0,1
2007,"FR",,"cvp",2,2,0,2
2007,"GE",,"cvp",2,1,0,1
2007,"GR",,"cvp",2,1,0,1
2007,"JU",,"cvp",2,0,-1,1
2007,"LU",,"cvp",2,3,0,3
2007,"SG",,"cvp",2,3,0,3
2007,"SO",,"cvp",2,2,0,2
2007,"SZ",,"cvp",2,1,0,1
2007,"TG",,"cvp",2,1,0,1
2007,"TI",,"cvp",2,2,0,2
2007,"VD",,"cvp",2,1,0,1
2007,"VS",,"cvp",2,4,0,4
2007,"ZG",,"cvp",2,1,0,1
2007,"ZH",,"cvp",2,3,1,2
2011,"AG",,"cvp",2,1,0,1
2011,"AI",,"cvp",2,1,0,1
2011,"BL",,"cvp",2,1,1,0
2011,"BS",,"cvp",2,1,1,0
2011,"FR",,"cvp",2,2,0,2
2011,"GE",,"cvp",2,1,0,1
2011,"GR",,"cvp",2,1,0,1
2011,"JU",,"cvp",2,1,0,1
2011,"LU",,"cvp",2,3,0,3
2011,"SG",,"cvp",2,3,0,3
2011,"SO",,"cvp",2,2,1,1
2011,"SZ",,"cvp",2,1,0,1
2011,"TG",,"cvp",2,1,0,1
2011,"TI",,"cvp",2,2,0,2
2011,"VD",,"cvp",2,1,0,1
2011,"VS",,"cvp",2,3,-1,4
2011,"ZG",,"cvp",2,1,0,1
2011,"ZH",,"cvp",2,2,0,2
1995,"BE",,"edu",16,1,0,1
1999,"BE",,"edu",16,1,0,1
2003,"BE",,"edu",16,1,0,1
2003,"ZH",,"edu",16,1,1,0
2007,"BE",,"edu",16,1,0,1
1995,"BE",,"evp",7,1,0,1
1995,"ZH",,"evp",7,1,0,1
1999,"AG",,"evp",7,1,1,0
1999,"BE",,"evp",7,1,0,1
1999,"ZH",,"evp",7,1,0,1
2003,"AG",,"evp",7,1,0,1
2003,"BE",,"evp",7,1,0,1
